"","ID","Satisfaction","Delivery.Speed","Quality.percption","E.Commerce.experience","Technical.support.perception","Complaint.resolution","Advertising.perception","Competitive.pricing","Warranty","Ordering.process","Location"
"1",1,8.2,3.7,8.5,3.9,2.5,5.9,4.8,6.8,4.7,5,1
"2",2,5.7,4.9,8.2,2.7,5.1,7.2,3.4,5.3,5.5,3.9,1
"3",3,8.9,4.5,9.2,3.4,5.6,5.6,5.4,4.5,6.2,5.4,0
"4",4,4.8,3,6.4,3.3,7,3.7,4.7,8.8,7,4.3,1
"5",5,7.1,3.5,9,3.4,5.2,4.6,2.2,6.8,6.1,4.5,0
"6",6,4.7,3.3,6.5,2.8,3.1,4.1,4,8.5,5.1,3.6,1
"7",7,5.7,2,6.9,3.7,5,2.6,2.1,8.9,4.8,2.1,1
"8",8,6.3,3.7,6.2,3.3,3.9,4.8,4.6,6.9,5.4,4.3,0
"9",9,7,4.6,5.8,3.6,5.1,6.7,3.7,9.3,5.9,4.4,1
"10",10,5.5,4.4,6.4,4.5,5.1,6.1,4.7,8.4,5.4,4.1,1
"11",11,7.4,4,8.7,3.2,4.6,4.8,2.7,6.8,5.8,3.8,1
"12",12,6,3.2,6.1,4.9,6.3,3.9,4.4,8.2,5.8,3,0
"13",13,8.4,4.4,9.5,5.6,4.6,6.9,5,7.6,6.5,5.1,0
"14",14,7.6,4.2,9.2,3.9,5.7,5.5,2.4,7.1,6.7,4.5,1
"15",15,8,5.2,6.3,4.5,4.7,6.9,4.5,8.8,6,4.8,1
"16",16,6.6,4.5,8.7,3.2,4,6.8,3.2,4.9,6.1,4.3,1
"17",17,6.4,4.5,5.7,4,6.7,6,3.3,6.2,6.7,4.2,1
"18",18,7.4,4.8,5.9,4.1,5.5,7.2,3.5,8.4,6.2,5.7,0
"19",19,6.8,4.5,5.6,3.4,5.1,6.4,3.7,9.1,5.4,5,0
"20",20,7.6,4.4,9.1,4.5,3.6,6.4,5.3,8.4,5.8,4.5,1
"21",21,5.4,3.3,5.2,3.8,7.1,5.2,3.9,8.4,7.1,3.3,1
"22",22,9.9,4.3,9.6,5.7,6.8,5.9,5.4,4.5,6.4,4.3,1
"23",23,7,4,8.6,3.6,7.4,5.1,3.5,3.7,6.7,4.8,1
"24",24,8.6,4.5,9.3,2.4,2.6,7.2,2.2,6.2,6.4,6.7,0
"25",25,4.8,4,6,4.1,5.3,4.7,3.5,8,6.5,4.7,1
"26",26,6.6,3.9,6.4,3.6,6.6,6.1,4,7.1,6.1,5.6,1
"27",27,6.3,4.4,8.5,3,7.2,5.8,4.1,4.8,6.9,5.3,1
"28",28,5.4,3.7,7,3.3,5.4,5.5,2.6,9,6.5,4.3,1
"29",29,6.3,4.4,8.5,3,5.7,6,2.3,4.8,5.8,5.7,0
"30",30,5.4,3.5,7.6,3.6,3,4,5.1,7.7,4.9,4.7,0
"31",31,6.1,3.3,6.9,3.4,8.5,4.3,4.5,5.2,7.7,3.7,0
"32",32,6.4,3,8.1,2.5,7.2,4.5,2.3,6.6,6.8,3,1
"33",33,5.4,3.4,6.7,3.7,6.5,5.3,5.3,9.2,5.7,3.5,1
"34",34,7.3,4.2,8,3.3,6.1,5.7,5.5,8.7,5.9,4.7,1
"35",35,6.3,3.5,6.7,4,5.2,3.9,3,8.4,6.2,2.5,0
"36",36,5.4,2.5,8.7,3.2,6.1,4.3,3.5,5.6,6.1,3.1,0
"37",37,7.1,3.5,9,3.4,5.9,4.6,3.9,6.8,6.4,3.9,0
"38",38,8.7,4.9,9.6,4.1,6.2,7.3,2.9,7.7,6.1,5.2,0
"39",39,7.6,4.5,8.2,3.6,3.9,6.2,5.8,9,5.2,4.7,0
"40",40,6,3.2,6.1,4.9,3,4.8,5.1,8.2,5.1,4.5,0
"41",41,7,3.9,8.3,3.4,3.3,5.5,3.1,9.1,4.1,4.6,0
"42",42,7.6,4.1,9.4,3.8,4.7,5.4,3.8,8.5,4.9,4.1,0
"43",43,8.9,4.3,9.3,5.1,4.6,6.8,5.8,7.4,5.1,4.6,1
"44",44,7.6,4.5,5.1,5.1,6.6,6.9,4.4,5.9,7.2,4.9,1
"45",45,5.5,4.7,8,2.5,4.7,7.1,3.6,5.2,5.1,4.3,1
"46",46,7.4,4.8,5.9,4.1,5.7,5.9,5.8,8.4,6.4,5.2,0
"47",47,7.1,3.5,10,4.3,7.1,6.3,2.9,3.8,6.7,5,0
"48",48,7.6,5.2,5.7,3.8,6.8,7.5,5.7,8.2,6.6,6.5,0
"49",49,8.7,3.9,9.9,3.7,3.7,6.1,4.2,6.8,5.9,4.5,0
"50",50,8.6,4.3,7.9,3.9,4.3,5.8,4.4,4.7,5.2,4.1,0
"51",51,5.4,2.8,6.7,3.6,5.9,4.2,3.4,7.2,5.7,4,0
"52",52,5.7,4.9,8.2,2.7,3.7,7.4,2.7,5.3,5.3,4.5,1
"53",53,8.7,4.6,9.4,2.5,4.8,6.1,3.2,6.3,6.3,4.7,0
"54",54,6.1,3.3,6.9,3.4,5.7,4.4,3.3,5.2,6.4,3.2,0
"55",55,7.3,4.2,8,3.3,3.8,5.8,3.2,8.7,5.3,4.9,0
"56",56,7.7,3.4,9.3,3.8,7.3,5.7,3.7,7.4,6.6,4.1,1
"57",57,9,5.5,7.4,5.1,4.8,7.7,4.5,9.6,6.4,5.7,1
"58",58,8.2,4,7.6,3.6,5.2,5.8,5.6,4.4,6.7,4.6,0
"59",59,7.1,3.5,10,4.3,5.3,3.7,4.2,3.8,6.7,3.7,0
"60",60,7.9,4,9.9,2.8,7.2,6.9,2.6,5.4,6.2,5.6,0
"61",61,6.6,4.5,8.7,3.2,8.4,6.1,2.8,4.9,7.2,5.4,1
"62",62,8,3.6,8.4,3.8,6.7,5,4.5,6.7,5.1,2.7,1
"63",63,6.3,2.9,8.8,3.9,3.8,5.1,4.3,5.8,5,4.4,1
"64",64,6,2.6,7.7,2.2,6.3,4.5,2.4,6.2,6,3.3,1
"65",65,5.4,2.8,6.6,3.6,5.8,4.1,4.9,7.2,6.5,3.5,0
"66",66,7.6,5.2,5.7,3.8,3.5,6.7,5.4,8.2,5.4,4.7,0
"67",67,6.4,4.5,5.7,4,7.9,6.4,2.7,6.2,7.5,5,0
"68",68,6.1,4.3,5.5,3.7,4.7,5.4,4.3,6,5.6,4.5,1
"69",69,5.2,3.4,7.5,3.5,3.8,3.5,2.9,7.6,5.1,4,1
"70",70,6.6,3.9,6.4,3.6,2.7,5.3,3.9,7.1,5.2,4.7,0
"71",71,7.6,4.4,9.1,4.5,6.1,5.9,6.3,8.4,7.1,5.4,0
"72",72,5.8,3.1,6.7,3.2,3,3.7,4.8,5,5.2,2.9,0
"73",73,7.9,4.6,6.5,4.3,2.7,6.6,6.5,8.7,4.7,4.6,0
"74",74,8.6,3.9,9.9,3.7,7.5,4.7,5.6,6.8,7.2,4.1,0
"75",75,8.2,3.7,8.5,3.9,5.3,5.5,5,6.8,5.7,4.4,0
"76",76,7.1,3.8,9.9,3,6.8,5,5.4,4.9,7.3,3.1,0
"77",77,6.4,3.9,7.6,3.6,7.6,4.6,4.7,7.4,8.1,4.5,0
"78",78,7.6,4.1,9.4,3.8,7,6.2,4.7,8.5,7.3,4.3,0
"79",79,8.9,4.6,9.3,3.5,6.3,7.6,5.5,4.6,6.6,5.2,0
"80",80,5.7,2.7,7.1,3.4,4.9,4.1,4,7.8,6.1,2.6,1
"81",81,7.1,3.8,9.9,3,7.4,4.8,4,4.9,5.9,3.2,1
"82",82,7.4,4,8.7,3.2,6.4,4.9,2.4,6.8,6.3,4.3,0
"83",83,6.6,3,8.6,2.9,5.8,3.9,2.9,6.3,6.1,2.7,0
"84",84,5,1.6,6.4,3.2,6.7,3.6,2.2,8.4,7.3,2,0
"85",85,8.2,4.3,7.7,2.6,6.7,6.6,1.9,5.9,6.5,4.7,0
"86",86,5.2,3.4,7.5,3.5,4.1,4.5,3.5,7.6,4.9,3.4,1
"87",87,5.2,3.1,5,3.6,1.3,3,3.5,8.2,4.3,2.4,0
"88",88,8.2,4.3,7.7,2.6,8,6.7,3.5,5.9,6.9,5.1,0
"89",89,7.3,3.9,9.1,3.6,5.5,5.4,4.2,8.3,6.5,4.6,0
"90",90,8.2,4.9,5.5,5.5,7.7,7,5.6,6.3,7.4,5.5,0
"91",91,7.4,3.3,9.1,3.7,7,4.1,4.4,7.3,7.5,4.4,0
"92",92,4.8,2.4,7.1,4.2,4.1,2.6,2.1,9.9,5.5,2,0
"93",93,7.6,4.2,9.2,3.9,4.6,5.3,4.2,7.1,6.2,4.4,0
"94",94,8.9,4.6,9.3,3.5,5.4,7.8,4.6,4.6,6.4,4.8,0
"95",95,7.7,3.4,9.3,3.8,4,4.6,4.7,7.4,5.3,3.6,0
"96",96,7.3,3.6,8.6,4.8,5.6,5.3,2.3,6.7,5.8,4.9,0
"97",97,6.3,3.7,7.4,3.4,2.6,5,4.1,7.2,4.5,4.2,0
"98",98,5.4,2.5,8.7,3.2,3.3,3.2,3.1,5.6,5,3.1,0
"99",99,6.4,3.9,7.8,4.9,5.8,5.3,5.2,7.9,6,4.3,0
"100",100,6.4,3.5,7.9,3,4.4,5.1,5.9,9.7,5.7,3.4,0
